------------------------Top 50 Unigrams for Language: gl------------------------------
   Unigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
         m        4886          7       0.05409235333842594         0.0540913046077409
         t        4534          8      0.050195401153586415       0.050194507730492215
         n        4131          9        0.0457338337374207        0.04573311812386943
         u        3990         10       0.04417283868610714        0.04417218528383515
         d        3606         11       0.03992161812082766       0.039921134145018404
         c        3009         12       0.03331229864824471       0.033312078077639244
         p        2341         13       0.02591694620656061        0.02591702036740595
         l        2250         14      0.024909495499684478        0.02490960981107177
         h        1940         15      0.021477520564172396       0.021477771652131168
         v        1434         16      0.015875651798465576       0.015876126141086185
         g        1367         17      0.015133902376919415       0.015134406280928056
         q        1300         18      0.014392152955373255       0.014392686420769926
         f        1181         19      0.013074717415612164       0.013075303385563694
         b        1119         20      0.012388322428509749       0.012388935753775573
         j         559         21      0.006188625770810499       0.006189486176334487
         k         469         22      0.005192245950823121      0.0051931460656743115
         z         463         23      0.005125820629490629         0.0051267233916303
         x         243         24     0.0026902255139659237       0.002691225343349872
         w         190         25      0.002103468508862245      0.0021044917226277693
         y         189         26     0.0020923976219734963      0.0020934212769537675
         1         141         27     0.0015609950513135607      0.0015620398846016741
         2         131         28      0.001450286182426074      0.0014513354278616547
         0          98         29     0.0010849469150973684      0.0010860107206195906
         3          90         30      9.963798199873791E-4        9.97447155227575E-4
         9          76         31       8.41387403544898E-4       8.424609157915478E-4
         4          58         32      6.421114395474221E-4       6.431928936595129E-4
         5          56         33      6.199696657699248E-4        6.21052002311509E-4
         6          54         34      5.978278919924275E-4       5.989111109635051E-4
         7          49         35      5.424734575486842E-4       5.435588825934954E-4
         8          36         36      3.985519279949517E-4      3.9964308883147016E-4
------------------------Top 50 Unigrams for Language: en------------------------------
   Unigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
         e        5354          1       0.10067316009176037        0.10066822598598117
         t        4680          2        0.0879996991463277        0.08799562287536478
         o        4187          3       0.07872964536873378        0.07872619656448362
         a        4104          4       0.07716896694370276        0.07716562377786469
         i        3675          5       0.06910232785528939         0.0690995307000391
         n        3216          6      0.060471588131322626       0.060469375169218735
         s        3156          7       0.05934338686021586       0.059341250263229145
         r        2647          8        0.0497724794103268       0.049770990644084113
         l        2526          9      0.047497273513594826        0.04749593875033844
         h        2199         10       0.04134857658606295        0.04134765801269517
         u        1726         11      0.032454589898837954        0.03245427333714389
         m        1628         12      0.030611861156030234       0.030611669324027556
         d        1567         13      0.029464856530405023        0.02946474233627147
         c        1539         14      0.028938362603888535       0.028938284046809662
         y        1358         15       0.02553495543604979       0.025535107247074394
         p        1312         16       0.02467000112820127       0.024670211485815708
         b        1267         17      0.023823850174871198       0.023824117806323514
         g        1174         18       0.02207513820465571       0.022075524202039648
         w        1071         19       0.02013839268925576        0.02013890978009085
         f         965         20       0.01814523711030048       0.018145889112842574
         k         770         21       0.01447858297920349       0.014479483168376403
         v         653         22      0.012278590500545297       0.012279639601696701
         j         500         23      0.009401677259223045       0.009402921091423244
         z         324         24      0.006092286863976533       0.006093754700520442
         x         237         25      0.004456395020871724       0.004457973586835535
         1         176         26      0.003309390395246512        0.00331104659907945
         0         173         27     0.0032529803316911736      0.0032546403537799706
         3         161         28      0.003027340077469821      0.0030290153725820524
         5         142         29     0.0026700763416193448       0.002671775819018682
         q         136         30      0.002557256214508668      0.0025589633284197224
         4         115         31     0.0021623857696213005      0.0021641196113233656
         2         101         32     0.0018991388063630552       0.001900890466592461
         9          97         33     0.0018239253882892709      0.0018256821395264884
         8          87         34       0.00163589184310481      0.0016376613218615564
         7          80         35     0.0015042683614756873       0.001506046749496104
         6          79         36     0.0014854650069572413       0.001487244667729611
------------------------Top 50 Unigrams for Language: es------------------------------
   Unigram   Frequency        Rank     UnSmoothedProbability        SmoothedProbability
         a       59225          1       0.13133472447981692        0.13133389777062054
         e       53355          2       0.11831767369557841        0.11831695090326967
         o       40754          3        0.0903742568417131        0.09037375712550333
         s       29212          4       0.06477923126221041        0.06477893587457251
         n       27216          5       0.06035299048446935        0.06035273043211385
         i       26946          6       0.05975425049950438        0.05975399522697165
         r       26347          7      0.058425934755082086       0.058425690086674684
         t       22522          8       0.04994378496807829       0.049943608013826794
         l       21188          9       0.04698556593125135       0.046985412592864935
         u       18215         10       0.04039277343013702        0.04039267272291022
         d       18156         11      0.040261937655644675        0.04026183799289767
         c       16198         12       0.03591996398689868        0.03591989898671828
         m       15140         13       0.03357379026803593       0.033573743997679574
         p       12388         14      0.027471077532392942       0.027471079980822734
         h        7278         15       0.01613936892805585       0.016139461839057317
         g        6785         16      0.015046114066619803        0.01504621570522359
         b        6709         17      0.014877579848629661       0.014877682832665043
         j        6445         18       0.01429214519666391       0.014292252854303777
         v        5855         19      0.012983787451740449        0.01298390555417822
         y        5756         20      0.012764249457253291       0.012764369312292745
         q        5494         21       0.01218324991628728       0.012183374409525124
         f        3941         22      0.008739386224988746       0.008739538211059038
         z        2704         23      0.005996270071649218       0.005996443956389015
         k        1934         24      0.004288752336749108       0.004288939852835322
         0        1592         25     0.0035303483557934745      0.0035305419263218633
         1        1555         26     0.0034482988022982745       0.003448493027839413
         x        1402         27     0.0031090128108181227      0.0031092097449254975
         2        1086         28     0.0024082652728591165      0.0024084678011294363
         3         957         29     0.0021222006133758513      0.0021224054253392724
         w         921         30     0.0020423686153805214       0.002042574064653645
         4         751         31      0.001665384180402575       0.001665592639193739
         9         701         32     0.0015545064054090613      0.0015547157493525899
         7         623         33     0.0013815370764191802      0.0013817478012003977
         5         559         34     0.0012396135244274826      0.0012398253822037272
         8         555         35     0.0012307433024280015       0.001230955231016435
         6         482         36     0.0010688617509374717      0.0010690749718483578
